Sex 0001               10 14 25.29 -01 42 53.7 19.70  0.62  270.2  1.7  0.33 0.02  0.32 0.06 0.000 1
Sex 0002               10 14 31.87 -01 39  6.6  0.00  0.00   47.1  1.4  0.35 0.01  0.92 0.02 0.000 0
Sex 0003               10 14 27.43 -01 37 24.8  0.00  0.00  123.3  2.0  0.32 0.02  0.92 0.03 0.000 0
Sex 0004               10 14 18.28 -01 44  8.4 18.49  1.33   30.1  1.8  0.33 0.02  0.85 0.03 0.000 1
Sex 0005               10 14 18.50 -01 39 59.3 18.06  1.25   32.4  1.3  0.37 0.01  0.94 0.01 0.000 1
Sex 0006               10 14 20.25 -01 39 23.0 19.77  0.73  271.6  1.8  0.33 0.03  0.62 0.05 0.000 1
Sex 0007               10 14 17.73 -01 38 28.7 19.42  0.58  145.9  2.0  0.25 0.02  0.37 0.05 0.000 1
Sex 0008               10 14  6.42 -01 34 50.0 17.55  1.26   -9.0  1.7  0.35 0.01  0.87 0.02 0.000 1
Sex 0009               10 14  8.40 -01 35 49.1 19.52  0.90  226.1  1.7  0.29 0.02  0.31 0.05 0.998 1
Sex 0010               10 14 17.31 -01 35 55.0  0.00  0.00  -39.8  1.6  0.36 0.01  0.81 0.02 0.000 0
Sex 0011               10 14 15.20 -01 36 16.9 19.77  1.02   64.6  0.8  0.34 0.03  0.84 0.04 0.000 1
Sex 0012               10 14 21.75 -01 31 45.0 18.12  0.82  317.0  1.5  0.33 0.01  0.59 0.02 0.000 1
Sex 0013               10 14 16.38 -01 44  0.5 20.36  1.20  110.9  3.5  0.43 0.06  0.56 0.13 0.000 1
Sex 0014               10 14  1.64 -01 45 32.9 18.77  1.17   16.8  1.4  0.39 0.02  0.80 0.03 0.000 1
Sex 0015               10 13 55.24 -01 33 20.5 19.80  0.95  223.9  1.4  0.34 0.03  0.40 0.06 0.997 1
Sex 0016               10 13 53.66 -01 35 24.8 18.74  1.07  225.4  0.6  0.35 0.01  0.37 0.03 0.999 1
Sex 0017               10 14  8.25 -01 30 22.4 18.56  1.06  206.2  1.1  0.29 0.01  0.32 0.03 0.964 1
Sex 0018               10 13 50.82 -01 45 12.3 17.52  1.30  240.3  1.2  0.37 0.01  0.44 0.03 0.982 1
Sex 0019               10 13 49.26 -01 40 50.8 18.77  1.03  223.0  0.8  0.36 0.02  0.42 0.04 0.998 1
Sex 0020               10 13 47.54 -01 42 38.5 18.67  0.80    4.3  4.1  0.33 0.06  0.59 0.10 0.000 1
Sex 0021               10 13 37.08 -01 32 29.0 19.87  0.78  222.6  3.8  0.39 0.04  0.29 0.11 0.998 1
Sex 0022               10 13 40.26 -01 33 39.8 18.04  1.21  233.3  0.6  0.40 0.01  0.41 0.03 0.997 1
Sex 0023               10 13 41.45 -01 35 39.0 19.23  1.01  232.1  1.7  0.30 0.02  0.31 0.05 0.999 1
Sex 0024               10 13 44.99 -01 36 30.9 19.14  0.95  212.7  1.1  0.27 0.02  0.30 0.04 0.998 1
Sex 0025               10 13 42.27 -01 31 24.7 18.70  1.09  220.6  0.6  0.39 0.02  0.37 0.04 0.999 1
Sex 0026               10 13 38.67 -01 40 45.9 18.83  1.06  221.5  0.8  0.33 0.01  0.34 0.04 1.000 1
Sex 0027               10 13 30.59 -01 41 35.3 19.19  0.98   79.5  1.0  0.42 0.02  0.96 0.03 0.000 1
Sex 0028               10 13 27.49 -01 36 27.3 18.28  1.01   76.7  0.4  0.39 0.01  0.59 0.02 0.000 1
Sex 0029               10 13 26.94 -01 37 10.1  0.00  0.00   48.5  0.6  0.39 0.01  0.93 0.02 0.000 0
Sex 0030               10 13 33.65 -01 35 27.2 18.74  1.09  223.0  0.9  0.27 0.02  0.35 0.05 0.999 1
Sex 0031               10 14  1.27 -01 33 59.3 18.47  0.85   15.6  0.5  0.34 0.02  0.90 0.02 0.000 1
Sex 0032               10 13 43.90 -01 38 47.9 19.59  0.78  223.7  1.5  0.33 0.02  0.43 0.05 0.997 1
Sex 0033               10 13 10.03 -01 33 30.8 19.17  0.64  269.6  1.7  0.33 0.02  0.33 0.06 0.001 1
Sex 0034               10 13  7.94 -01 32  9.0  0.00  0.00   43.5  1.7  0.36 0.02  0.85 0.04 0.000 0
Sex 0035               10 13 10.53 -01 31 15.4 17.71  1.30  228.6  0.5  0.42 0.01  0.46 0.02 0.995 1
Sex 0036               10 13  5.77 -01 30 43.2 19.54  0.66  183.6  0.9  0.31 0.03  0.50 0.05 0.000 1
Sex 0037               10 13  0.66 -01 30 35.6 20.15  0.98  215.2  1.6  0.31 0.04  0.45 0.07 0.996 1
Sex 0038               10 13  3.50 -01 26  2.3 20.19  0.60   38.7  5.0  0.34 0.07  0.10 0.19 0.000 1
Sex 0039               10 13  5.93 -01 28  0.3 18.16  1.17  223.9  0.5  0.37 0.01  0.39 0.03 0.999 1
Sex 0040               10 13 11.35 -01 23  4.5 17.99  0.88    3.8  0.4  0.41 0.01  0.95 0.02 0.000 1
Sex 0041               10 13 17.15 -01 26 38.1 18.94  1.02  241.4  0.5  0.35 0.01  0.35 0.03 0.994 1
Sex 0042               10 12 59.18 -01 34 42.6 20.04  0.96  217.2  1.3  0.34 0.02  0.42 0.05 1.000 1
Sex 0043               10 13  1.34 -01 34 42.9 18.59  1.12  224.1  0.5  0.38 0.01  0.40 0.03 1.000 1
Sex 0044               10 13  0.33 -01 31 47.7 19.99  0.87  227.7  1.1  0.29 0.03  0.35 0.05 1.000 1
Sex 0045               10 12 58.11 -01 28 43.4 19.34  0.76  104.1  0.6  0.41 0.03  0.84 0.04 0.000 1
Sex 0046               10 12 58.84 -01 28 25.8 19.82  1.00  227.3  0.8  0.39 0.02  0.39 0.05 0.999 1
Sex 0047               10 12 59.49 -01 28  3.4 19.55  0.93  217.9  1.6  0.34 0.02  0.38 0.05 0.999 1
Sex 0048               10 12 52.40 -01 35  7.3 20.31  0.98  220.7  2.2  0.32 0.04  0.38 0.08 1.000 1
Sex 0049               10 12 53.33 -01 34 40.6 19.45  1.01  229.9  1.1  0.38 0.02  0.30 0.06 1.000 1
Sex 0050               10 12 46.57 -01 23 47.6 18.51  1.03  212.5  0.5  0.31 0.01  0.35 0.03 0.998 1
Sex 0051               10 12 48.47 -01 23 56.8 17.69  1.23   -7.5  1.0  0.37 0.01  0.86 0.02 0.000 1
Sex 0052               10 12 46.44 -01 24 31.9 19.04  1.01  221.0  2.1  0.37 0.04  0.42 0.09 0.998 1
Sex 0053               10 12 54.83 -01 24 30.9 19.32  0.83  147.0  0.5  0.32 0.02  0.85 0.03 0.000 1
Sex 0054               10 13  1.44 -01 23 43.9 19.74  1.12    3.7  1.1  0.35 0.03  0.88 0.04 0.000 1
Sex 0055               10 13  0.60 -01 25 47.0 17.67  1.12  109.7  0.7  0.30 0.01  0.88 0.01 0.000 1
Sex 0056               10 12 45.62 -01 35 46.1 20.09  0.95  231.5  1.3  0.35 0.02  0.34 0.06 0.999 1
Sex 0057               10 12 45.21 -01 33 34.8 17.84  0.76   44.5  0.3  0.32 0.01  0.78 0.02 0.000 1
Sex 0058               10 12 46.81 -01 31 58.1 19.31  1.03  223.4  0.7  0.39 0.02  0.41 0.04 0.999 1
Sex 0059               10 12 46.35 -01 30 15.3 18.25  1.18   23.6  1.0  0.30 0.02  0.91 0.03 0.000 1
Sex 0060               10 12 47.99 -01 29 38.7 18.98  0.94  222.8  1.9  0.34 0.02  0.36 0.05 0.999 1
Sex 0061               10 12 43.35 -01 32  5.1 17.91  1.23   56.3  0.7  0.37 0.01  0.93 0.02 0.000 1
